,Scenario,Period,BA,CAT,KO,DIS,JPM,MMM,MSFT,PFE,WMT,XOM,5Y,10Y,15Y,20Y,30Y,b1,b2,b3
194,1,194,705.9664927467544,315.4562900401488,118.35376854110936,312.0960822647557,296.01987044207937,373.24094370240635,341.11190310461495,82.24928753592384,258.9787457014863,144.15073141143634,161.26314776725283,161.26314776725283,161.26314776725283,161.26314776725283,161.26314776725283,0.02,0.0,0.0
195,1,195,708.8426876253128,316.74149801410283,118.8359564444071,313.36760033629406,297.22589203667997,374.7615735081757,342.501635221939,82.58438131446209,260.03385716880814,144.73801933470997,161.66086619397774,161.66086619397774,161.66086619397774,161.66086619397774,161.66086619397774,0.02,0.0,0.0
196,1,196,711.7306004778324,318.03194208443057,119.32010884090987,314.64429872984897,298.4368271125427,376.2883985480029,343.89702927993517,82.92084030653322,261.0932672908534,145.3276999416797,162.05956550163637,162.05956550163637,162.05956550163637,162.05956550163637,162.05956550163637,0.02,0.0,0.0
197,1,197,714.6302790447894,319.3276435836366,119.80623373420613,315.9261985506936,299.6526956877984,377.8214440620382,345.2981083460506,83.25867007418618,262.1569935808736,145.919782980435,162.4592481093457,162.4592481093457,162.4592481093457,162.4592481093457,162.4592481093457,0.02,0.0,0.0
198,1,198,717.541771261161,320.62862393113704,120.29433916049199,317.2133209900866,300.87351786213446,379.3607353932637,346.704895581712,83.59787620213035,263.2250536234711,146.51427823878038,162.859916442189,162.859916442189,162.859916442189,162.859916442189,162.859916442189,0.02,0.0,0.0
199,1,199,720.4651252572172,321.9349046336133,120.78443318870401,318.5056873256224,302.09931381712653,380.9062979879117,348.1174142427088,83.93846429782793,264.2974650748906,147.11119554439708,163.26157293123023,163.26157293123023,163.26157293123023,163.26157293123023,163.26157293123023,0.02,0.0,0.0
200,1,200,723.4003893593168,323.2465072853677,121.2765239206526,319.80331892158296,303.3301038165727,382.45815739588573,349.53568767957717,84.28043999158663,265.3742456633102,147.71054476500544,163.66422001352927,163.66422001352927,163.66422001352927,163.66422001352927,163.66422001352927,0.02,0.0,0.0
201,1,201,726.3476120907061,324.5634535686803,121.77061949115593,321.106237229291,304.56590820682834,384.01633927118263,350.9597393379864,84.62380893665271,266.45541318913484,148.31233580852822,164.06786013215628,164.06786013215628,164.06786013215628,164.06786013215628,164.06786013215628,0.02,0.0,0.0
202,1,202,729.306842172321,325.8857652541675,122.26672806817443,322.41446378746474,305.8067474171422,385.5808693723169,352.3895927591263,84.96857680930444,267.5409855252905,148.91657862325417,164.47249573620678,164.47249573620678,164.47249573620678,164.47249573620678,164.47249573620678,0.02,0.0,0.0
203,1,203,732.2781285235927,327.21346420114196,122.76485785294585,323.7280202225735,307.05264195999456,387.1517735627465,353.8252715800964,85.31474930894598,268.6309806175198,149.5232831980027,164.87812928081632,164.87812928081632,164.87812928081632,164.87812928081632,164.87812928081632,0.02,0.0,0.0
204,1,204,735.2615202632563,328.5465723579738,123.26501708012074,325.0469282491957,308.30361243143585,388.72907781130016,355.26679953429675,85.66233215820155,269.7254164846785,150.1324595622889,165.28476322717555,165.28476322717555,165.28476322717555,165.28476322717555,165.28476322717555,0.02,0.0,0.0
205,1,205,738.2570667101621,329.8851117624535,123.76721401789867,326.3712096703775,309.5596795114274,390.3128081926068,356.71420045182003,86.01133110301005,270.8243112190331,150.74411778648923,165.69240004254507,165.69240004254507,165.69240004254507,165.69240004254507,165.69240004254507,0.02,0.0,0.0
206,1,206,741.2648173840926,331.22910454215645,124.2714569681649,327.7008863779937,310.8208639641835,391.9029908875269,358.1674982598459,86.3617519127201,271.9276829865608,151.35826798200824,166.10104220027046,166.10104220027046,166.10104220027046,166.10104220027046,166.10104220027046,0.02,0.0,0.0
207,1,207,744.2848220065788,332.57857291480815,124.77775426662753,329.0359803531089,312.0871866385141,393.49965218358466,359.62671698303615,86.71360038018523,273.0355500272487,151.97492030144556,166.51069217979708,166.51069217979708,166.51069217979708,166.51069217979708,166.51069217979708,0.02,0.0,0.0
208,1,208,747.3171305017244,333.9335391886522,125.28611428295544,330.3765136663416,313.35866846817,395.10281847540324,361.09188074393217,87.06688232185994,274.14793065539624,152.59408493876376,166.92135246668548,166.92135246668548,166.92135246668548,166.92135246668548,166.92135246668548,0.02,0.0,0.0
209,1,209,750.3617929970293,335.2940257628186,125.7965454209165,331.72250847822846,314.63533047218857,396.7125162651403,362.5630137633533,87.42160357789554,275.26484325991737,153.21577212945684,167.33302555262608,167.33302555262608,167.33302555262608,167.33302555262608,167.33302555262608,0.02,0.0,0.0
